trib,gage_number,wtshd_area_km2,lake_segment
Great Chazy,4271500,629.36757,Isle LaMotte
Little Chazy,4271815,130.276497,Isle LaMotte
Saranac,4273500,1574.71392,Cumberland Bay
Salmon,4273700,163.946367,Main Lake
Little Ausable,4273800,175.601322,Main Lake
Ausable,4275500,1155.13554,Main Lake
Boquet,4276500,699.2973,Main Lake
Poultney,4280000,484.32813,South Lake B
Mettawee,4280450,432.52833,South Lake B
Otter,4282500,1626.51372,Otter Creek
Little Otter,4282650,147.888429,Otter Creek
Lewis,4282780,199.947228,Otter Creek
LaPlatte,4282795,115.513554,Shelburne Bay
Winooski,4290500,2703.94956,Main Lake
Lamoille,4292500,1776.73314,Malletts Bay
Missisquoi,4294000,2201.4915,Missisquoi Bay
