trib,gage_number,wtshd_area_km2,lake_segment,lng,lat,coordinate_datum
Great Chazy,4271500,629.36757,Isle LaMotte,-73.5020833,44.9996111,NAD83
Little Chazy,4271815,130.276497,Isle LaMotte,-73.415,44.9022222,NAD83
Saranac,4273500,1574.71392,Cumberland Bay,-73.4711111,44.68166667,NAD83
Salmon,4273700,163.946367,Main Lake,-73.4947222,44.64,NAD83
Little Ausable,4273800,175.601322,Main Lake,-73.4961111,44.59416667,NAD83
Ausable,4275500,1155.13554,Main Lake,-73.6425,44.45138889,NAD83
Boquet,4276500,699.2973,Main Lake,-73.3944444,44.3583333,NAD83
Poultney,4280000,484.32813,South Lake B,-73.3115011,43.6242324,NAD83
Mettawee,4280450,432.52833,South Lake B,-73.2841667,43.46388889,NAD83
Otter,4282500,1626.51372,Otter Creek,-73.1678954,44.01311488,NAD83
Little Otter,4282650,147.888429,Otter Creek,-73.2490117,44.19810987,NAD83
Lewis,4282780,199.947228,Otter Creek,-73.22845688,44.24922015,NAD83
LaPlatte,4282795,115.513554,Shelburne Bay,-73.2162367,44.3700512,NAD83
Winooski,4290500,2703.94956,Main Lake,-73.1387381,44.47893867,NAD83
Lamoille,4292500,1776.73314,Malletts Bay,-73.0726365,44.67921477,NAD83
Missisquoi,4294000,2201.4915,Missisquoi Bay,-73.1284645,44.91670937,NAD83
New Haven,4282525,297.849,Otter Creek,-73.17067429,44.0617249,NAD83
Mill,4292750,57.75673,St. Albans Bay,-73.1437467,44.7797674,NAD83
Jewett,4292810,9.686556,St. Albans Bay,-73.1508333,44.8561111,NAD83
