timestamp,temp_degC,sp_cond_uScm,cond_uScm,pH,pH_mV,odo_mgL,odo_pct_sat,turb_fnu,nitrate_mgL
2022-05-06T12:40:00Z,12.24,129,98,7.79,-69.3,11.3,105.4,1.55,NA
2022-05-06T12:50:00Z,12.29,129,98,7.78,-69,11.31,105.6,1.53,NA
2022-05-06T13:00:00Z,12.31,129,98,7.77,-68.6,11.3,105.7,1.57,NA
2022-05-06T13:10:00Z,12.36,129,98,7.77,-68.3,11.31,105.8,1.52,NA
2022-05-06T13:20:00Z,12.36,129,98,7.76,-68,11.31,105.8,1.52,NA
2022-05-06T13:30:00Z,12.43,129,98,7.76,-68,11.31,106,1.51,NA
2022-05-06T13:40:00Z,12.45,129,98,7.76,-67.7,11.31,106.1,1.57,NA
2022-05-06T13:50:00Z,12.48,129,98,7.76,-67.8,11.32,106.2,1.53,NA
2022-05-06T14:00:00Z,12.52,129,98,7.76,-67.7,11.32,106.3,1.6,NA
2022-05-06T14:10:00Z,12.55,129,98,7.76,-68.1,11.33,106.5,1.57,NA
2022-05-06T14:20:00Z,12.56,129,98,7.76,-67.8,11.33,106.5,1.59,NA
2022-05-06T14:30:00Z,12.62,129,98,7.76,-67.9,11.35,106.8,1.59,NA
2022-05-06T14:40:00Z,12.6,129,98,7.77,-68.2,11.35,106.8,1.57,NA
2022-05-06T14:50:00Z,12.63,129,98,7.77,-68.5,11.35,106.9,1.59,NA
2022-05-06T15:00:00Z,12.68,128,98,7.78,-69.2,11.37,107.2,1.55,NA
2022-05-06T15:10:00Z,12.71,128,98,7.79,-69.4,11.38,107.3,1.56,NA
2022-05-06T15:20:00Z,12.73,128,98,7.78,-69,11.38,107.4,1.51,NA
2022-05-06T15:30:00Z,12.75,128,98,7.79,-69.3,11.39,107.5,1.55,NA
2022-05-06T15:40:00Z,12.77,128,98,7.78,-69.2,11.39,107.6,1.62,NA
2022-05-06T15:50:00Z,12.81,128,98,7.79,-69.5,11.41,107.8,1.53,NA
2022-05-06T16:00:00Z,12.83,128,98,7.78,-68.9,11.42,108,1.61,NA
2022-05-06T16:10:00Z,12.82,128,98,7.77,-68.5,11.41,107.9,1.59,NA
2022-05-06T16:20:00Z,12.85,128,98,7.77,-68.7,11.42,108.1,1.59,NA
2022-05-06T16:30:00Z,12.86,128,98,7.78,-68.9,11.43,108.1,1.58,NA
2022-05-06T16:40:00Z,12.86,128,99,7.77,-68.6,11.42,108.1,1.57,NA
2022-05-06T16:50:00Z,12.86,128,98,7.78,-68.9,11.42,108.1,1.58,NA
2022-05-06T17:00:00Z,12.87,128,98,7.78,-69.1,11.43,108.2,1.57,NA
2022-05-06T17:10:00Z,12.88,128,99,7.77,-68.6,11.41,108,1.57,NA
2022-05-06T17:20:00Z,12.88,128,98,7.82,-70.9,11.43,108.2,1.63,NA
2022-05-06T17:30:00Z,12.87,128,98,7.78,-69.2,11.44,108.3,1.57,NA
2022-05-06T17:40:00Z,12.88,128,98,7.78,-68.8,11.43,108.2,1.54,NA
2022-05-06T17:50:00Z,12.88,128,99,7.78,-68.8,11.44,108.3,1.57,NA
2022-05-06T18:00:00Z,12.85,128,98,7.8,-70.1,11.48,108.7,1.49,NA
2022-05-06T18:10:00Z,12.86,128,98,7.79,-69.4,11.47,108.6,1.51,NA
2022-05-06T18:20:00Z,12.86,128,98,7.79,-69.7,11.5,108.9,1.58,NA
2022-05-06T18:30:00Z,12.86,128,98,7.79,-69.7,11.49,108.8,1.5,NA
2022-05-06T18:40:00Z,12.83,128,98,7.84,-72.3,11.53,109.1,1.59,NA
2022-05-06T18:50:00Z,12.84,128,98,7.79,-69.8,11.51,108.9,1.57,NA
2022-05-06T19:00:00Z,12.87,128,99,7.78,-69.2,11.48,108.7,1.5,NA
2022-05-06T19:10:00Z,12.82,128,98,7.79,-69.7,11.51,108.9,1.6,NA
2022-05-06T19:20:00Z,12.85,128,98,7.79,-69.3,11.49,108.7,1.49,NA
2022-05-06T19:30:00Z,12.76,127,97,7.79,-69.5,11.5,108.6,1.53,NA
2022-05-06T19:40:00Z,12.8,128,98,7.77,-68.6,11.49,108.6,1.56,NA
2022-05-06T19:50:00Z,12.78,128,98,7.77,-68.6,11.48,108.5,1.48,NA
2022-05-06T20:00:00Z,12.77,128,98,7.77,-68.4,11.47,108.4,1.53,NA
2022-05-06T20:10:00Z,12.72,127,97,7.77,-68.5,11.49,108.4,1.51,NA
2022-05-06T20:20:00Z,12.68,127,97,7.77,-68.5,11.47,108.1,1.56,NA
2022-05-06T20:30:00Z,12.7,127,97,7.76,-68.1,11.47,108.2,1.55,NA
2022-05-06T20:40:00Z,12.67,127,97,7.77,-68.3,11.47,108.1,1.49,NA
2022-05-06T20:50:00Z,12.64,127,97,7.76,-67.9,11.46,107.9,1.52,NA
2022-05-06T21:00:00Z,12.63,127,97,7.76,-67.9,11.44,107.7,1.48,NA
2022-05-06T21:10:00Z,12.58,126,96,7.76,-67.8,11.44,107.6,1.58,NA
2022-05-06T21:20:00Z,12.61,127,97,7.76,-67.7,11.44,107.7,1.47,NA
2022-05-06T21:30:00Z,12.6,127,97,7.75,-67.5,11.42,107.5,1.5,NA
2022-05-06T21:40:00Z,12.54,127,97,7.75,-67.3,11.43,107.4,1.55,NA
2022-05-06T21:50:00Z,12.53,126,96,7.75,-67.2,11.42,107.3,1.49,NA
2022-05-06T22:00:00Z,12.52,126,96,7.75,-67.1,11.41,107.1,1.54,NA
2022-05-06T22:10:00Z,12.48,126,96,7.75,-67.2,11.41,107,1.48,NA
2022-05-06T22:20:00Z,12.49,126,96,7.74,-66.9,11.4,107,1.51,NA
2022-05-06T22:30:00Z,12.46,127,96,7.79,-69.7,11.39,106.9,1.44,NA
2022-05-06T22:40:00Z,12.42,126,96,7.79,-69.2,11.39,106.7,1.53,NA
2022-05-06T22:50:00Z,12.39,126,96,7.78,-69,11.38,106.6,1.48,NA
2022-05-06T23:00:00Z,12.35,125,95,7.78,-69.1,11.37,106.4,1.49,NA
2022-05-06T23:10:00Z,12.33,126,95,7.77,-68.6,11.37,106.3,1.5,NA
2022-05-06T23:20:00Z,12.33,126,96,7.77,-68.1,11.36,106.3,1.52,NA
2022-05-06T23:30:00Z,12.31,126,95,7.77,-68.4,11.36,106.2,1.47,NA
2022-05-06T23:40:00Z,12.27,126,95,7.73,-66,11.35,106,1.44,NA
