fake_year,id,date,precip,max_temp_degF,min_temp_degF,new,depth_in,timestamp,year,month,week,julian_day,winter_day,winter,daily_percent_rank,percentile_label
1990-11-23,23,1954-11-23,0,23,15,0,2,2002-10-10T12:46:18Z,1954,11,47,327,77,1954-1955,0.20634920634920634,Percentile: 20.6
1990-11-23,388,1955-11-23,0,32,8,0,4,2002-10-10T12:46:18Z,1955,11,47,327,77,1955-1956,0.3492063492063492,Percentile: 34.9
1990-11-23,1484,1958-11-23,0,23,10,0,1,2002-10-10T12:46:18Z,1958,11,47,327,77,1958-1959,0.12698412698412698,Percentile: 12.7
1990-11-23,1849,1959-11-23,0,30,20,0,8,2002-10-10T12:46:18Z,1959,11,47,327,77,1959-1960,0.4444444444444444,Percentile: 44.4
1990-11-23,2215,1960-11-23,0.2,40,20,0,0,2002-10-10T12:46:18Z,1960,11,47,328,78,1960-1961,0,Percentile: 0
1990-11-23,2580,1961-11-23,0,40,25,0,1,2002-10-10T12:46:18Z,1961,11,47,327,77,1961-1962,0.12698412698412698,Percentile: 12.7
1990-11-23,2945,1962-11-23,0,27,14,0,10,2002-10-10T12:46:18Z,1962,11,47,327,77,1962-1963,0.5079365079365079,Percentile: 50.8
1990-11-23,3310,1963-11-23,0.18,49,36,0,0,2002-10-10T12:46:18Z,1963,11,47,327,77,1963-1964,0,Percentile: 0
1990-11-23,3615,1964-11-23,0,17,5,0,2,2002-10-10T12:46:18Z,1964,11,47,328,78,1964-1965,0.20634920634920634,Percentile: 20.6
1990-11-23,3980,1965-11-23,0,32,21,0,24,2002-10-10T12:46:18Z,1965,11,47,327,77,1965-1966,0.8888888888888888,Percentile: 88.9
1990-11-23,4345,1966-11-23,0,50,32,0,0,2002-10-10T12:46:18Z,1966,11,47,327,77,1966-1967,0,Percentile: 0
1990-11-23,4710,1967-11-23,0.62,32,22,2,24,2002-10-10T12:46:18Z,1967,11,47,327,77,1967-1968,0.8888888888888888,Percentile: 88.9
1990-11-23,5076,1968-11-23,0.21,25,13,2,30,2002-10-10T12:46:18Z,1968,11,47,328,78,1968-1969,0.9682539682539683,Percentile: 96.8
1990-11-23,5441,1969-11-23,0,27,11,0,12,2002-10-10T12:46:18Z,1969,11,47,327,77,1969-1970,0.6349206349206349,Percentile: 63.5
1990-11-23,5806,1970-11-23,1,31,13,10,14,2002-10-10T12:46:18Z,1970,11,47,327,77,1970-1971,0.7142857142857143,Percentile: 71.4
1990-11-23,6171,1971-11-23,0.05,13,2,0,3,2002-10-10T12:46:18Z,1971,11,47,327,77,1971-1972,0.2857142857142857,Percentile: 28.6
1990-11-23,6537,1972-11-23,0.06,11,0,1,16,2002-10-10T12:46:18Z,1972,11,47,328,78,1972-1973,0.7777777777777778,Percentile: 77.8
1990-11-23,6902,1973-11-23,0,39,32,0,4,2002-10-10T12:46:18Z,1973,11,47,327,77,1973-1974,0.3492063492063492,Percentile: 34.9
1990-11-23,7267,1974-11-23,0,32,7,0,19,2002-10-10T12:46:18Z,1974,11,47,327,77,1974-1975,0.8253968253968254,Percentile: 82.5
1990-11-23,7815,1976-11-23,0.29,25,14,2,36,2002-10-10T12:46:18Z,1976,11,47,328,78,1976-1977,1,Percentile: 100
1990-11-23,8180,1977-11-23,0,25,14,0,6,2002-10-10T12:46:18Z,1977,11,47,327,77,1977-1978,0.3968253968253968,Percentile: 39.7
1990-11-23,8545,1978-11-23,0,17,9,0,1,2002-10-10T12:46:18Z,1978,11,47,327,77,1978-1979,0.12698412698412698,Percentile: 12.7
